level_0,level_1,level_2,incorr4_data
5,1,8,1.0107946005162907e-05
5,1,9,1.1095313840801845e-05
5,1,10,1.2223208796299377e-05
5,1,11,1.3626781786352867e-05
5,1,12,1.529688329412614e-05
5,1,13,1.6733166079717365e-05
5,1,14,1.761555348695149e-05
5,1,15,1.7592449410799133e-05
5,1,16,1.6731301979348834e-05
5,1,17,1.5011435831136042e-05
5,1,18,1.2809636436825786e-05
5,1,19,1.0487460687569686e-05
5,1,20,8.61890452252931e-06
5,1,21,7.076566649577641e-06
5,1,22,5.397314533574536e-06
5,1,23,2.825283851315771e-06
5,1,24,-2.990626670906228e-07
6,0,0,1.4799053353697388e-06
6,0,1,2.0791505758687004e-06
6,0,2,1.909859958042166e-06
6,0,3,1.2808038454610959e-06
6,0,4,1.0354584601054295e-06
6,0,5,1.7351907703681401e-06
6,0,6,3.0125855567877816e-06
6,0,7,3.816133960320747e-06
6,0,8,3.3437449517659083e-06
6,0,9,1.8033899591925916e-06
6,0,10,2.569680456964892e-07
6,0,11,-2.9480609539869237e-07
6,0,12,2.6276734779929044e-07
6,0,13,1.1766615164364539e-06
6,0,14,1.5738085728892468e-06
6,0,15,1.2093330222466756e-06
6,0,16,5.239529933391584e-07
6,0,17,1.1176463370352552e-07
6,0,18,1.7421758944181506e-07
6,0,19,4.743377374066307e-07
6,0,20,6.809244142971378e-07
6,0,21,7.026354628687652e-07
6,0,22,6.658604078524666e-07
6,0,23,6.837685861709036e-07
6,0,24,7.191909951718345e-07
6,1,0,-3.6149573672696175e-06
6,1,1,-4.211654658323595e-06
6,1,2,-3.413618156563388e-06
6,1,3,-1.3949869051934594e-06
6,1,4,8.783814468110008e-07
6,1,5,2.226949833572094e-06
6,1,6,2.063587120401108e-06
6,1,7,1.0625756816891587e-06
6,1,8,1.0282593546862709e-06
6,1,9,3.7568985695116e-06
6,1,10,9.437418479704013e-06
6,1,11,1.6057439154869898e-05
6,1,12,2.0592584348731995e-05
6,1,13,2.1316916126358e-05
6,1,14,1.916077336675708e-05
6,1,15,1.679344156868296e-05
6,1,16,1.6196869787899696e-05
6,1,17,1.717682051223621e-05
6,1,18,1.8096049003802966e-05
6,1,19,1.781571653909186e-05
6,1,20,1.6577200105167178e-05
6,1,21,1.503949483449749e-05
6,1,22,1.2799976875353257e-05
6,1,23,8.609356283209937e-06
6,1,24,2.1867297944730857e-06
7,0,0,7.328685223977279e-07
7,0,1,3.8385792894507923e-07
7,0,2,7.261219360741794e-07
7,0,3,2.0274572609358613e-06
7,0,4,4.0938419870813105e-06
7,0,5,6.459189995282365e-06
7,0,6,8.514386845035653e-06
7,0,7,9.730154269544842e-06
7,0,8,9.827518953001407e-06
7,0,9,8.992536593117363e-06
7,0,10,7.769029004782869e-06
7,0,11,6.769985439786469e-06
7,0,12,6.203899194265144e-06
7,0,13,5.834407507419138e-06
7,0,14,5.241615950470654e-06
7,0,15,4.3410513818560364e-06
7,0,16,3.4782712254927855e-06
7,0,17,3.200541007061168e-06
7,0,18,3.720449659300217e-06
7,0,19,4.739281646514782e-06
7,0,20,5.536915424015043e-06
7,0,21,5.474174840573032e-06
7,0,22,4.295153185350308e-06
7,0,23,2.3354705611057844e-06
7,0,24,2.9356204305233445e-07
7,1,0,3.710119691083128e-05
7,1,1,3.194073262722391e-05
7,1,2,2.2861561205503506e-05
7,1,3,1.3631374370867374e-05
7,1,4,7.4190190585370205e-06
7,1,5,4.6797533984073e-06
7,1,6,3.461897046435952e-06
7,1,7,2.219963640865793e-06
7,1,8,1.6889542418283107e-06
7,1,9,4.058774053645678e-06
7,1,10,9.806677699700781e-06
7,1,11,1.6191748968854528e-05
7,1,12,1.9041958432338508e-05
7,1,13,1.6762218978903722e-05
7,1,14,1.1951197844435612e-05
7,1,15,9.159933824845533e-06
7,1,16,1.0279716815078134e-05
7,1,17,1.271396486873127e-05
7,1,18,1.1872287900146659e-05
7,1,19,6.144565214228855e-06
7,1,20,-1.2054575743152023e-06
7,1,21,-4.591746687975662e-06
7,1,22,-1.3241005232831073e-06
7,1,23,6.184298491756222e-06
7,1,24,1.2688165777838462e-05
8,0,0,-6.40839298739148e-07
8,0,1,-6.429433238135819e-07
8,0,2,-4.705117659876711e-07
8,0,3,-7.992813271770729e-07
8,0,4,-1.4626685005754192e-06
8,0,5,-1.7050826754130632e-06
8,0,6,-9.369530883769032e-07
8,0,7,5.551261520806172e-07
8,0,8,1.8144652401389958e-06
8,0,9,1.928558077995599e-06
8,0,10,8.288126205836905e-07
8,0,11,-7.467854741074307e-07
8,0,12,-1.8036073284295544e-06
8,0,13,-1.8943743553222057e-06
8,0,14,-1.2493079525199038e-06
8,0,15,-4.561068703631962e-07
8,0,16,2.1607270677135164e-07
8,0,17,9.535214445554585e-07
8,0,18,2.1605718169656103e-06
8,0,19,3.836793678476194e-06
8,0,20,5.441505790398541e-06
8,0,21,6.120625130534173e-06
8,0,22,5.421982576839365e-06
8,0,23,3.6106845610970185e-06
8,0,24,1.6304055195292345e-06
8,1,0,1.0569022718448528e-05
8,1,1,5.412305553068302e-06
8,1,2,3.9763185351585e-06
8,1,3,7.960374323759216e-06
8,1,4,1.464326363922303e-05
8,1,5,1.939681416642761e-05
8,1,6,1.932695042037517e-05
8,1,7,1.4686542490948622e-05
8,1,8,7.968419350213099e-06
8,1,9,1.762462151306117e-06
8,1,10,-2.491697742538213e-06
8,1,11,-4.889018309860762e-06
8,1,12,-6.545259481970361e-06
8,1,13,-8.926881261011677e-06
8,1,14,-1.2511048594188666e-05
8,1,15,-1.5970781043202144e-05
8,1,16,-1.6329997986350175e-05
8,1,17,-1.1206663642597027e-05
8,1,18,-1.1420481484595408e-06
8,1,19,9.832214856115575e-06
8,1,20,1.695121780151453e-05
8,1,21,1.814422166469278e-05
8,1,22,1.5586785098434014e-05
8,1,23,1.3340583444525797e-05
8,1,24,1.386388633104244e-05
9,0,0,-4.1757639959684787e-07
9,0,1,1.2379492730202042e-06
9,0,2,2.381698904193176e-06
9,0,3,2.384628022873353e-06
9,0,4,1.5221037073735231e-06
9,0,5,5.978539409581925e-07
9,0,6,2.0719042221990806e-07
9,0,7,3.060006793143794e-07
