level_0,level_1,level_2,correct_data
2,2,17,1.817370093500168e-05
2,2,18,1.514096825128001e-05
2,2,19,1.1847478339504125e-05
2,2,20,9.98839547141858e-06
2,2,21,9.99487543936633e-06
2,2,22,1.1326187982893554e-05
2,2,23,1.2510571291362064e-05
2,2,24,1.2856420844982127e-05
3,0,0,8.76100525014436e-07
3,0,1,3.2738455535206274e-06
3,0,2,4.875536323998664e-06
3,0,3,5.861769474030761e-06
3,0,4,6.502840648447581e-06
3,0,5,6.939490516466877e-06
3,0,6,7.176329488699576e-06
3,0,7,7.348640902273592e-06
3,0,8,7.616326297271269e-06
3,0,9,7.959994518766096e-06
3,0,10,7.969706467134228e-06
3,0,11,7.211279551620103e-06
3,0,12,5.679007602379769e-06
3,0,13,3.9785031414647115e-06
3,0,14,2.7067070226136704e-06
3,0,15,1.9000134044561666e-06
3,0,16,9.346487925661546e-07
3,0,17,-6.149231104017418e-07
3,0,18,-2.3125025453628415e-06
3,0,19,-2.971099682943983e-06
3,0,20,-1.924477902803706e-06
3,0,21,1.0135229482380598e-07
3,0,22,1.1801949034054933e-06
3,0,23,-1.7767846694467513e-07
3,0,24,-3.7810278281070705e-06
3,1,0,1.616162650388295e-05
3,1,1,1.4220777878102327e-05
3,1,2,1.300519089734466e-05
3,1,3,1.4149435657440654e-05
3,1,4,1.70960602918984e-05
3,1,5,1.914433115749554e-05
3,1,6,1.7906219266820237e-05
3,1,7,1.3973826052230982e-05
3,1,8,1.075397974654443e-05
3,1,9,1.154067084742778e-05
3,1,10,1.6430218483212862e-05
3,1,11,2.2244635660587033e-05
3,1,12,2.5150564408310712e-05
3,1,13,2.3720423986228908e-05
3,1,14,1.9312328655735826e-05
3,1,15,1.418633640462661e-05
3,1,16,9.263292442273979e-06
3,1,17,4.086424875778888e-06
3,1,18,-1.66706525061563e-06
3,1,19,-6.730298000792755e-06
3,1,20,-8.881316303369644e-06
3,1,21,-6.6581888941871195e-06
3,1,22,-9.005803938226645e-07
3,1,23,5.8603113721031515e-06
3,1,24,1.1099303976016921e-05
3,2,0,4.527065606609032e-06
