level_0,level_1,level_2,correct_data
2,1,17,-2.378301213835663e-06
2,1,18,-3.204154611464099e-06
2,1,19,-6.440818202032791e-06
2,1,20,-1.0165917925913524e-05
2,1,21,-1.1482784055382518e-05
2,1,22,-9.494948749820867e-06
2,1,23,-6.050250976047492e-06
2,1,24,-4.404343482893421e-06
3,0,0,4.139023501751362e-06
3,0,1,5.041673359849278e-06
3,0,2,6.6064844834187535e-06
3,0,3,8.751047556304148e-06
3,0,4,1.0920510411707837e-05
3,0,5,1.2442513438016374e-05
3,0,6,1.3085788136229484e-05
3,0,7,1.3094420332471581e-05
3,0,8,1.2990975131146236e-05
3,0,9,1.302501351656412e-05
3,0,10,1.3016707283227996e-05
3,0,11,1.24080341295605e-05
3,0,12,1.0817059389616314e-05
3,0,13,8.333666607121624e-06
3,0,14,5.66075659002839e-06
3,0,15,3.6042540696617814e-06
3,0,16,2.6903252038012283e-06
3,0,17,2.7918042594509828e-06
3,0,18,3.4417502832999488e-06
3,0,19,4.102635709584849e-06
3,0,20,4.580855306860696e-06
3,0,21,4.851736666288027e-06
3,0,22,4.999653248809698e-06
3,0,23,4.940712534288316e-06
3,0,24,4.66432654904595e-06
3,1,0,2.0955548410107167e-05
3,1,1,1.8437547534704913e-05
3,1,2,1.673670219517055e-05
3,1,3,1.7695760734502382e-05
3,1,4,2.0639774755329258e-05
3,1,5,2.2573791256808354e-05
3,1,6,2.1022223831485562e-05
3,1,7,1.6801404376814576e-05
3,1,8,1.3704640354750904e-05
3,1,9,1.5168807520718236e-05
3,1,10,2.10108864341622e-05
3,1,11,2.746435388869574e-05
3,1,12,3.0253769815024277e-05
3,1,13,2.7936115345897003e-05
3,1,14,2.2337946907996335e-05
3,1,15,1.6300264057520983e-05
3,1,16,1.1106940093646793e-05
3,1,17,6.196498090069711e-06
3,1,18,8.552475392319825e-07
3,1,19,-4.051539205084207e-06
3,1,20,-6.368098642574229e-06
3,1,21,-4.394091294664386e-06
3,1,22,1.3861065987930216e-06
3,1,23,8.487099820788573e-06
3,1,24,1.405432142770769e-05
4,0,0,6.019661758388008e-06
4,0,1,6.495621443195214e-06
4,0,2,6.627386854764249e-06
4,0,3,6.136435059069618e-06
4,0,4,5.074266012467681e-06
4,0,5,3.7930637173718014e-06
4,0,6,2.706163508571792e-06
4,0,7,1.991459642002223e-06
4,0,8,1.5884403419704596e-06
4,0,9,1.359538893916292e-06
4,0,10,1.2479112414855785e-06
4,0,11,1.1958144746970211e-06
4,0,12,1.0726681626461822e-06
4,0,13,7.212148028123767e-07
4,0,14,2.3075904553548402e-07
4,0,15,1.8559809965685346e-08
4,0,16,6.085483255178184e-07
4,0,17,2.096403326820538e-06
4,0,18,3.946635901831252e-06
4,0,19,5.218081865216893e-06
4,0,20,5.230198517612345e-06
4,0,21,3.958467336683978e-06
4,0,22,2.059889660585424e-06
4,0,23,4.2809511525220866e-07
4,0,24,-1.8254936821075608e-07
4,1,0,-5.900012635416538e-06
4,1,1,-8.983605900709696e-07
